delta,theta,alpha,beta,mano
0.38656616202475325,-0.12451260748635133,-0.161792431255805,-0.6790436432063967,open
0.3881596535987954,-0.045762137429412125,-0.06469407600213253,-0.6257946892987328,open
0.35725229718709556,-0.15417835881560446,-0.29388280898413266,-0.9298779765738663,open
0.2725772964792145,-0.11513005152109429,-0.44499157227024877,-0.8879146011549223,open
0.3932629594482678,-0.17454163746527682,-0.6122576094518518,-0.7699468822075919,open
0.3942625335027994,-0.24453597004765737,-0.28256389231577445,-0.5615465075416538,open
0.32216426021553196,-0.3198261858845179,-0.2482296806691973,-0.5758033976322832,open
0.3535118091631733,-0.00956478138077072,-0.08453799413921871,-0.5148960769908755,open
0.392473333845319,-0.3066514568236941,-0.6300292020525197,-0.5638012863366735,open
0.4364427406137182,-0.14550939071684257,-0.36120819067304905,-0.6430288082756135,open
0.421312028832366,-0.0868027595770716,-0.3563760046118745,-0.49857933837497664,open
0.38481821119295034,-0.2128175507961713,-0.17344616598964654,-0.5232649959031812,open
0.34522684057145764,-0.23070044355749342,-0.2985966006079087,-0.8723307684383003,open
0.4425961391942546,-0.05371836462361533,-0.2280695636863908,-0.4239292041569403,open
0.31607381289791114,-0.16045375871666928,-0.2816934546995472,-0.811438871292787,open
0.4425297849194045,-0.11377105054297897,-0.298229174994535,-0.607829517115275,open
0.3049626244533263,-0.3569836809423261,-0.5880103376210276,-0.8662141302263106,open
0.4029322871498023,-0.25363442059549485,-0.5376383344779443,-0.644430545530995,open
0.3444554391420193,-0.3664670054930129,-0.7013990087888206,-0.5327453894816572,open
0.38434373031986696,-0.3664591843873743,-0.6784598910394917,-0.5515522927451563,open
0.34305132114401343,-0.16052652020689218,-0.40138056357245727,-0.38943107709149444,open
0.36256273856698573,-0.45630121192250817,-0.503329791174757,-0.5169532644052011,open
0.38846339385534423,-0.39967995750456037,-0.6797662804415961,-0.46446007106524334,open
0.381438738495132,-0.2935506000398494,-0.5830632871743954,-0.46211294934565694,open
0.3279463167647498,-0.30452744393782405,-0.39390085058836266,-0.543519904506048,open
0.3034176347311974,-0.30576333612894846,-0.24832364129799278,-0.5883901444071619,open
0.4286904846029614,-0.14766201842578888,-0.38278777653461243,-0.6143634992047404,open
0.3112876492277057,-0.524177175920608,-0.8046748697544196,-0.8526504722234518,open
0.3868329605698729,-0.27957173439248356,-0.30289595181447393,-0.7692407807384076,open
0.34734297646626705,-0.25827131967986683,-0.4864319882459441,-0.7042159324784668,open
0.32502450369646274,-0.29726976056042237,-0.45293926423796266,-1.0053045102017018,open
0.38753982563859507,-0.12040679835625853,-0.5849691909715313,-0.6638297721561757,open
0.36385540572626124,-0.16164404579410144,-0.42806854787900106,-0.6992082903220185,open
0.34393359376703453,-0.14727191336467327,-0.21555228486899503,-0.664879139623179,open
0.34603856704606745,-0.3047341799450877,-0.6228662518040537,-0.722538301607967,open
0.4222075481054481,-0.15514242866551298,-0.41690880049858997,-0.6245349882804053,open
0.28858871535453623,-0.44547709283896,-0.6980226291830717,-0.5186410348663061,open
0.42027844128847736,-0.11332559351234142,-0.7050188956736675,-0.6156130440347931,open
0.31401943494231893,-0.23381776740553967,-0.5051831763563941,-0.5871547056266153,open
0.4155153224023525,-0.33487236098941225,-0.5498391446091198,-0.6670339588840348,open
0.4085564084901252,-0.06737080464135736,-0.23482260997169174,-0.44649601827801494,open
0.440785034451378,-0.20817109039183923,-0.41841223882224016,-0.474669104668265,open
0.3291015202748909,-0.3494800085358305,-0.1821829595706806,-0.4987313629078748,open
0.3248057298841522,-0.2792279883145952,-0.48220655113216215,-0.5965420910082149,open
0.3369017889731275,-0.3270552697317555,-0.22138710809448195,-0.47281660586935376,open
0.37794543617194065,-0.25101543348131805,-0.21859001741121503,-0.5642494913321717,open
0.410373154217539,-0.064063430516002,-0.23728357668894146,-0.6133996360191275,open
0.26045516297733395,-0.16970237272768093,-0.43023757935172247,-0.632922705381085,open
0.4611183315338634,-0.07319064916417364,-0.33343630969695354,-0.6400760550974662,open
0.32823758635076933,-0.2974826587533748,-0.4459982889308745,-0.3887015929219048,open
0.34248912191328035,-0.18336069684207373,-0.72696087009569,-0.6785543261743259,open
0.38608808608482975,-0.07979362263043178,-0.1575456052722561,-0.6923185348529531,open
0.37038707835556894,-0.3333352666221142,-0.3714003180697389,-0.7486551276023521,open
0.30819058535555577,-0.3662676819695164,-0.289030749168698,-0.6205082110424748,open
0.32331763297340643,-0.4404840735375833,-0.767168394387291,-0.7819535924212873,open
0.363086003730921,-0.30151608707761657,-0.38484089052885223,-0.9614132267132146,open
0.3247380944553189,-0.19732138735168164,-0.3765408515777315,-0.9189192651316274,open
0.35067710006112124,-0.26597333024156916,-0.32742407728499484,-0.9561058759953021,open
0.30521817698927173,-0.20853072428575842,-0.40898840296986294,-0.9019383889860502,open
0.36292570645996103,-0.49889371227313106,-0.8394848060145677,-0.8190733171238537,open
0.3205956620171294,-0.27281232291474766,-0.3461933311943032,-0.7081104015753973,open
0.3816887262437172,-0.43066836951147386,-0.8933948497906491,-0.6356201053331305,open
0.44025131558759156,-0.14920254763006546,-0.3860893403389497,-0.6328160048093322,open
0.29215413407999136,-0.4693636576492518,-0.5915261891489361,-0.5094740729498529,open
0.39575189097240043,-0.15471340235164785,-0.12360205458229298,-0.6306840104557664,open
0.37239743742461534,-0.11571541991931214,-0.5545435679054923,-0.5851651691815394,open
0.4557917385027441,-0.016085747221244055,-0.2215520777199872,-0.5193532022789047,open
0.45414478983022577,-0.10783108140756563,-0.36711447605051023,-0.7382912549931271,open
0.2622781805563157,-0.3160918189055251,-0.6654533692864584,-0.5429925524660677,open
0.46393944770029777,-0.09648130248973957,-0.6179087879933661,-0.6367513153554532,open
0.3261278372186385,-0.6128749823709636,-0.5571246736195854,-0.5545813399954918,open
0.4270527411322354,-0.07080753098499636,-0.12226979193926561,-0.4902512127158042,open
0.33937885098706405,-0.3509208994112848,-0.42138103779256464,-0.7036966857582981,open
0.3522748920995245,-0.11720679710860116,-0.10887392781963885,-0.557728073889455,open
0.43282406981357974,-0.10734972528076903,-0.24191520188954505,-0.49388891257776896,open
0.3545287931410156,-0.30765598769489666,-0.2857216892895391,-0.6351437029573418,open
0.36607903522185387,-0.1295623790928892,-0.269981243618289,-0.6315432653544075,open
0.37642555575858644,-0.2305282631402296,-0.4825870993952178,-0.6090963423133263,open
0.4046407918815641,-0.36579289848865176,-0.7393903732065359,-0.3854287085692469,open
0.30855094248448184,-0.5150305243684689,-0.4955323407526451,-0.5489270070039427,open
0.36928579728153715,-0.2100149850231801,-0.17640282999571563,-0.504435011171283,open
0.42496065053172327,-0.07124096750912765,-0.1261696368203112,-0.49853139445288447,open
0.343225942501129,-0.3059904736510426,-0.43052737392325996,-0.8359718119337293,open
0.328560918042141,-0.16266068465322223,-0.20260682831944804,-0.6403157098352872,open
0.4086407410772196,-0.08440982928089115,-0.33821851319965685,-0.952878125376874,open
0.3469805575146924,-0.261339629895271,-0.3831027818854731,-1.0091472302150157,open
0.30706186214455033,-0.32761734302590856,-0.5902615624646512,-1.0657912405967889,open
0.26500640663281794,-0.6459336540148861,-0.5581896647293835,-0.5850816595834402,open
0.30776826831313503,-0.4460401326456796,-0.8221423781743328,-0.7912242398566083,open
0.35956923179814165,-0.3927833384062498,-0.4758328559988241,-0.6358270569686717,open
0.3914549834890541,-0.19243471961097502,-0.66005694262489,-0.6409971456991962,open
0.35158603490874296,-0.09490123453098062,-0.18733969990046587,-0.4957605026732388,open
0.3600536539470512,-0.1263644894971089,-0.09034113440186212,-0.6432167064000793,open
0.38846028172280145,-0.4059182388812346,-0.6314024812319282,-0.728539382185096,open
0.427128652681787,-0.0698560958867457,-0.32454072404354795,-0.530772222985082,open
0.3727942145116647,-0.22934094383135,-0.6736419551010793,-0.6241351278299039,open
0.3599279935191811,-0.19556589916470843,-0.6198960508002451,-0.6355371133472573,open
0.39217844569717136,-0.12402972868384453,-0.5148633920289906,-0.43419964609054545,open
0.3768066332036748,-0.2917463202720985,-0.3907255659523363,-0.44955426196413467,open
0.4035576715158321,-0.23817268353690438,-0.18764539167260513,-0.5273968419167204,open
0.37124707092172465,-0.13862997149001094,-0.2023496431942256,-0.6218349035331534,close
0.4110179985043163,-0.38453626197401997,-0.7541013599072367,-0.5219205695570762,close
0.31021861338196877,-0.2099742226459514,-0.3466197590869089,-0.5797078818536218,close
0.42019266495008833,-0.1267519047106108,-0.3670579853586821,-0.6182568583156189,close
0.3746162858668725,-0.22728566799248054,-0.5281860518019456,-0.519759417543133,close
0.18401359971130524,-0.5044535750343403,-0.542138384240576,-0.544199730240839,close
0.25831553846742034,-0.25655689684198013,-0.2495410909830146,-0.4546457045609892,close
0.32104277699747996,-0.3442432758263224,-0.38635495601886005,-0.6858222595236639,close
