delta,theta,alpha,beta,mano
1.466210916098369,0.9535981192013758,1.087022683589024,0.481495223380648,open
1.6189895619286068,1.4957108633228537,1.2251043965052695,0.6176232724444526,open
1.3731379644184356,1.3864913548319087,0.7954588749564719,0.4413928198164198,open
1.1541083524954576,1.1166483428328542,1.0182966257231194,0.5896653112993123,open
1.7527048491388564,1.1700382020006352,0.697410366635385,0.4328085712628488,open
1.7469907440577241,1.246763962670009,0.8481681945307086,0.33658815111368084,open
1.2133228730415797,0.6752150171363802,0.1038795905580882,-0.12498298622889227,open
0.5974474410633933,0.6358865199644533,0.48959078984323007,0.11602014792869332,open
1.364372842340013,0.4555539007538926,0.544450811685997,0.2883060482737825,open
1.8261018291761775,1.4309631728691425,1.0953886264829722,0.8199558009292841,open
1.910468427793146,1.2941770874522536,0.9121726821779534,0.5401411648972322,open
1.0917273107577807,1.3352974604579793,0.9083952880322207,0.32786497874529014,open
1.774550615589516,1.2824796726307637,0.9557262645660831,0.6640158018418789,open
1.6803178582462177,1.5095451072707533,1.112791227764108,0.8609241165109103,open
1.7077477287596596,1.5816600777961454,1.0789341925075453,0.8850708599418452,open
1.9764416202834092,1.3472434575474226,1.0994207814234198,0.8139191599688376,open
1.9577348664090073,1.320111673748655,1.126912766561202,0.9010455839238277,open
1.623023671729012,1.619092512573267,0.9590729659213145,0.8780239075774242,open
1.9764807749047093,1.3472151745717649,1.099319050642526,0.8139792129428505,open
1.9168522067890306,1.3420953551344617,1.253541951394161,1.042708705581435,open
1.7087956082746352,1.6243957226621981,1.431079481448041,0.848631776141984,open
1.5008024995964377,1.5468048646707258,1.5021772398209425,0.9968173871148281,open
1.9898419153209952,1.360599014985161,1.1127216644520599,0.8274020381978858,open
1.8123937357083513,1.5136177322489583,1.462421893235842,1.0183792231848403,open
1.8824029738495163,1.406526785992452,1.3576919623176484,1.1032575898072765,open
1.4549817969145615,1.6719518942474523,1.2425603707862356,0.9063075697192303,open
1.9898419153209952,1.360599014985161,1.1127216644520599,0.8274020381978858,open
1.9898419153209952,1.360599014985161,1.1127216644520599,0.8274020381978858,open
1.6305150944783726,1.632096963641358,1.0818505114218544,0.8716007090278821,open
1.97650169092664,1.3472528604633018,1.0993750241840206,0.8140426261745848,open
